ds,TimeGPT
2025-03-15,165.28012
2025-03-16,165.10152
2025-03-17,164.81908
2025-03-18,164.73701
2025-03-19,164.90099
2025-03-20,164.73201
2025-03-21,164.96735
2025-03-22,165.2285
2025-03-23,164.96288
2025-03-24,164.76115
2025-03-25,164.88448
2025-03-26,164.92259
2025-03-27,164.62602
2025-03-28,164.92133
2025-03-29,165.30266
2025-03-30,165.24171
2025-03-31,165.01259
2025-04-01,165.16417
2025-04-02,165.36896
2025-04-03,165.18456
2025-04-04,165.37675
2025-04-05,165.76755
2025-04-06,165.67299
2025-04-07,165.4956
2025-04-08,165.46643
2025-04-09,165.43541
2025-04-10,165.29114
2025-04-11,165.58102
2025-04-12,165.90411
2025-04-13,165.70717
